StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1,Q3,Q4_1,Q7_1,Q10_1,Q10_2,Q10_3,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q14_1,Q14_2,Q14_3,Q15_1,Q15_2,Q15_3,Q19_1,Q19_2,Q19_3,Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q21_1,Q21_2,Q21_3,Q22_1,Q22_2,Q22_3,Q25_1,Q25_2,Q25_3,Q26_1,Q26_2,Q26_3,Q26_4,Q26_5,Q27_1,Q27_2,Q27_3,Q28_1,Q28_2,Q28_3,Q31_1,Q31_2,Q31_3,Q32_1,Q32_2,Q32_3,Q32_4,Q32_5,Q33_1,Q33_2,Q33_3,Q34_1,Q34_2,Q34_3,Q37_1,Q37_2,Q37_3,Q38_1,Q38_2,Q38_3,Q38_4,Q38_5,Q39_1,Q39_2,Q39_3,Q40_1,Q40_2,Q40_3,Q43_1,Q43_2,Q43_3,Q44_1,Q44_2,Q44_3,Q44_4,Q44_5,Q45_1,Q45_2,Q45_3,Q46_1,Q46_2,Q46_3
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Please enter your participant number,"Which of the statements below sounds most like
you?",". - To what extent, if at all, do you think that smoking will damage your health in the future?",". - If smoking damaged your health in the future, how severe would this damage be?",This warning make me feel... - ...disgusted,This warning make me feel... - ...scared,This warning make me feel... - ...regretful,This warning... - ...is believable,This warning... - ...makes me think about the health problems caused by smoking,This warning... - ...discourages me from wanting to smoke,This warning... - ...makes smoking seem unpleasant to me,This warning... - ...makes me concerned about the health effects of smoking,. - This warning is trying to manipulate me,. - The health effect of this warning is overblown,. - This warning annoys me,If I saw this warning on my cigarette pack I would... - ...try to avoid thinking about it,If I saw this warning on my cigarette pack I would... - ...try to avoid looking at it,If I saw this warning on my cigarette pack I would... - ...keep the pack out of sight to avoid looking at the warning,This warning make me feel... - ...disgusted,This warning make me feel... - ...scared,This warning make me feel... - ...regretful,This warning... - ...is believable,This warning... - ...makes me think about the health problems caused by smoking,This warning... - ...discourages me from wanting to smoke,This warning... - ...makes smoking seem unpleasant to me,This warning... - ...makes me concerned about the health effects of smoking,. - This warning is trying to manipulate me,. - The health effect of this warning is overblown,. - This warning annoys me,If I saw this warning on my cigarette pack I would... - ...try to avoid thinking about it,If I saw this warning on my cigarette pack I would... - ...try to avoid looking at it,If I saw this warning on my cigarette pack I would... - ...keep the pack out of sight to avoid looking at the warning,This warning make me feel... - ...disgusted,This warning make me feel... - ...scared,This warning make me feel... - ...regretful,This warning... - ...is believable,This warning... - ...makes me think about the health problems caused by smoking,This warning... - ...discourages me from wanting to smoke,This warning... - ...makes smoking seem unpleasant to me,This warning... - ...makes me concerned about the health effects of smoking,. - This warning is trying to manipulate me,. - The health effect of this warning is overblown,. - This warning annoys me,If I saw this warning on my cigarette pack I would... - ...try to avoid thinking about it,If I saw this warning on my cigarette pack I would... - ...try to avoid looking at it,If I saw this warning on my cigarette pack I would... - ...keep the pack out of sight to avoid looking at the warning,This warning make me feel... - ...disgusted,This warning make me feel... - ...scared,This warning make me feel... - ...regretful,This warning... - ...is believable,This warning... - ...makes me think about the health problems caused by smoking,This warning... - ...discourages me from wanting to smoke,This warning... - ...makes smoking seem unpleasant to me,This warning... - ...makes me concerned about the health effects of smoking,. - This warning is trying to manipulate me,. - The health effect of this warning is overblown,. - This warning annoys me,If I saw this warning on my cigarette pack I would... - ...try to avoid thinking about it,If I saw this warning on my cigarette pack I would... - ...try to avoid looking at it,If I saw this warning on my cigarette pack I would... - ...keep the pack out of sight to avoid looking at the warning,This warning make me feel... - ...disgusted,This warning make me feel... - ...scared,This warning make me feel... - ...regretful,This warning... - ...is believable,This warning... - ...makes me think about the health problems caused by smoking,This warning... - ...discourages me from wanting to smoke,This warning... - ...makes smoking seem unpleasant to me,This warning... - ...makes me concerned about the health effects of smoking,. - This warning is trying to manipulate me,. - The health effect of this warning is overblown,. - This warning annoys me,If I saw this warning on my cigarette pack I would... - ...try to avoid thinking about it,If I saw this warning on my cigarette pack I would... - ...try to avoid looking at it,If I saw this warning on my cigarette pack I would... - ...keep the pack out of sight to avoid looking at the warning,This warning make me feel... - ...disgusted,This warning make me feel... - ...scared,This warning make me feel... - ...regretful,This warning... - ...is believable,This warning... - ...makes me think about the health problems caused by smoking,This warning... - ...discourages me from wanting to smoke,This warning... - ...makes smoking seem unpleasant to me,This warning... - ...makes me concerned about the health effects of smoking,. - This warning is trying to manipulate me,. - The health effect of this warning is overblown,. - This warning annoys me,If I saw this warning on my cigarette pack I would... - ...try to avoid thinking about it,If I saw this warning on my cigarette pack I would... - ...try to avoid looking at it,If I saw this warning on my cigarette pack I would... - ...keep the pack out of sight to avoid looking at the warning
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID13_3""}","{""ImportId"":""QID13_4""}","{""ImportId"":""QID13_5""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID14_3""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID15_3""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID19_2""}","{""ImportId"":""QID19_3""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID20_2""}","{""ImportId"":""QID20_3""}","{""ImportId"":""QID20_4""}","{""ImportId"":""QID20_5""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID21_2""}","{""ImportId"":""QID21_3""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID22_2""}","{""ImportId"":""QID22_3""}","{""ImportId"":""QID25_1""}","{""ImportId"":""QID25_2""}","{""ImportId"":""QID25_3""}","{""ImportId"":""QID26_1""}","{""ImportId"":""QID26_2""}","{""ImportId"":""QID26_3""}","{""ImportId"":""QID26_4""}","{""ImportId"":""QID26_5""}","{""ImportId"":""QID27_1""}","{""ImportId"":""QID27_2""}","{""ImportId"":""QID27_3""}","{""ImportId"":""QID28_1""}","{""ImportId"":""QID28_2""}","{""ImportId"":""QID28_3""}","{""ImportId"":""QID31_1""}","{""ImportId"":""QID31_2""}","{""ImportId"":""QID31_3""}","{""ImportId"":""QID32_1""}","{""ImportId"":""QID32_2""}","{""ImportId"":""QID32_3""}","{""ImportId"":""QID32_4""}","{""ImportId"":""QID32_5""}","{""ImportId"":""QID33_1""}","{""ImportId"":""QID33_2""}","{""ImportId"":""QID33_3""}","{""ImportId"":""QID34_1""}","{""ImportId"":""QID34_2""}","{""ImportId"":""QID34_3""}","{""ImportId"":""QID37_1""}","{""ImportId"":""QID37_2""}","{""ImportId"":""QID37_3""}","{""ImportId"":""QID38_1""}","{""ImportId"":""QID38_2""}","{""ImportId"":""QID38_3""}","{""ImportId"":""QID38_4""}","{""ImportId"":""QID38_5""}","{""ImportId"":""QID39_1""}","{""ImportId"":""QID39_2""}","{""ImportId"":""QID39_3""}","{""ImportId"":""QID40_1""}","{""ImportId"":""QID40_2""}","{""ImportId"":""QID40_3""}","{""ImportId"":""QID43_1""}","{""ImportId"":""QID43_2""}","{""ImportId"":""QID43_3""}","{""ImportId"":""QID44_1""}","{""ImportId"":""QID44_2""}","{""ImportId"":""QID44_3""}","{""ImportId"":""QID44_4""}","{""ImportId"":""QID44_5""}","{""ImportId"":""QID45_1""}","{""ImportId"":""QID45_2""}","{""ImportId"":""QID45_3""}","{""ImportId"":""QID46_1""}","{""ImportId"":""QID46_2""}","{""ImportId"":""QID46_3""}"
2019-04-11 10:13:52,2019-04-11 10:15:44,IP Address,100,111,True,2019-04-11 10:15:44,R_1gi7ckeUEwG7PmT,anonymous,EN-GB,333,"I sometimes think about quitting smoking, but I have no plans to quit.",68,88,79,77,82,78,78,83,81,82,84,67,50,74,71,79,62,22,65,86,91,60,72,82,52,79,95,77,86,88,72,69,65,89,86,82,84,77,72,76,76,80,86,76,46,70,55,74,79,81,86,84,86,88,85,81,86,83,65,88,95,75,63,65,100,59,27,68,69,62,83,69,70,42,25,79,89,76,87,85,72,87,79,84,63,43
2019-04-11 10:25:43,2019-04-11 10:27:42,IP Address,55,118,False,2019-04-11 14:27:43,R_31NwaeJUYULue1f,anonymous,EN-GB,222,"I never think about quitting smoking, and I have no plans to quit.",38,47,17,10,15,14,81,16,17,21,19,29,14,29,87,26,85,40,45,36,67,51,51,61,51,53,62,88,96,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,65,12,25,53,8,65,61,17,32,17,77,80,80
2019-04-18 13:22:00,2019-04-18 13:26:50,IP Address,100,290,True,2019-04-18 13:26:51,R_1GWxtFdoNXTv04Z,anonymous,EN-GB,558,I definitely plan to quit smoking in the next 6 months.,97,92,20,42,48,90,67,47,31,60,21,19,22,83,50,17,49,48,51,91,40,56,41,42,21,10,10,17,14,17,68,67,67,88,74,75,76,79,21,4,11,12,10,17,58,47,56,95,67,49,54,62,9,8,9,79,15,12,71,72,69,97,44,69,68,71,30,8,8,29,15,11,29,29,30,89,29,29,29,29,26,27,26,40,12,14
2019-04-26 10:10:00,2019-04-26 10:16:08,IP Address,100,367,True,2019-04-26 10:16:08,R_2RQ9oMqGN467Z6R,anonymous,EN-GB,278,"I sometimes think about quitting smoking, but I have no plans to quit.",100,84,99,1,2,2,2,2,4,3,96,98,99,100,96,99,99,1,2,97,94,13,95,58,3,2,98,3,99,100,97,3,1,97,99,65,96,96,2,58,98,100,99,99,100,1,1,53,96,1,100,98,55,58,100,100,99,97,97,1,1,98,99,31,58,60,2,71,99,100,99,100,57,3,1,99,1,30,34,94,6,2,100,2,100,100
2019-05-01 13:13:08,2019-05-01 13:17:50,IP Address,100,281,True,2019-05-01 13:17:50,R_qCPMDwUwPsgrjYB,anonymous,EN-GB,608,"I rarely think about quitting smoking, and I have no plans to quit.",70,73,6,6,10,29,11,11,8,9,50,32,3,5,6,5,30,6,3,35,25,7,24,6,54,13,3,7,9,9,11,7,8,53,10,11,15,7,50,10,13,8,6,9,13,13,28,46,39,16,14,19,51,17,16,10,11,9,6,7,7,56,41,6,6,7,52,6,5,5,6,6,5,6,6,36,22,2,27,20,58,20,6,5,7,7
2019-05-02 11:15:53,2019-05-02 11:22:39,IP Address,100,406,True,2019-05-02 11:22:40,R_1QaOo8nuuNmGw5K,anonymous,EN-GB,148,"I rarely think about quitting smoking, and I have no plans to quit.",64,73,5,11,6,14,2,2,3,3,50,69,50,3,3,3,94,51,34,94,59,34,32,66,3,5,19,78,79,40,78,80,51,100,100,79,85,93,5,10,10,83,93,61,90,32,16,24,17,13,14,17,58,62,37,46,14,23,47,49,82,93,60,20,39,61,5,5,20,6,6,6,78,31,12,72,58,20,40,65,4,5,41,73,82,29
2019-05-02 11:13:36,2019-05-02 11:15:52,IP Address,25,135,False,2019-05-02 15:16:49,R_3DqMpfvtWZTNVOR,anonymous,EN-GB,148,"I rarely think about quitting smoking, and I have no plans to quit.",82,92,4,7,3,8,4,12,2,1,41,77,64,6,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-08 09:43:13,2019-05-08 09:52:12,IP Address,100,538,True,2019-05-08 09:52:12,R_so3TUKtfTIJ5hvP,anonymous,EN-GB,476,"I often think about quitting smoking, but I have no plans to quit.",90,90,1,1,1,2,3,1,1,2,100,100,20,2,1,2,100,100,100,100,100,100,100,100,100,20,2,100,100,100,100,100,100,100,100,100,100,100,100,5,2,100,100,100,85,100,100,50,100,20,100,100,90,25,70,100,100,100,100,100,100,100,100,100,100,100,100,2,1,100,100,100,20,100,100,20,20,1,100,90,100,80,20,100,100,100
2019-05-23 14:33:33,2019-05-23 14:37:46,IP Address,100,252,True,2019-05-23 14:37:46,R_2xX0AZnXNmBOIek,anonymous,EN-GB,558,"I often think about quitting smoking, but I have no plans to quit.",94,87,47,72,79,84,67,69,64,64,52,51,54,36,33,30,66,53,68,83,75,51,62,68,27,22,19,77,20,79,90,89,89,89,70,65,66,85,51,35,47,82,37,32,83,79,85,86,86,53,64,73,49,76,51,88,29,28,75,57,73,84,51,53,64,65,24,24,27,65,17,20,85,88,74,90,80,61,67,75,80,29,29,32,27,30
2019-05-24 10:17:53,2019-05-24 10:22:15,IP Address,100,261,True,2019-05-24 10:22:15,R_2CCacvMswFIqP5D,anonymous,EN-GB,402,"I rarely think about quitting smoking, and I have no plans to quit.",60,41,13,13,15,16,13,16,15,15,9,19,49,27,31,27,51,46,45,43,36,35,53,44,45,71,52,71,74,78,40,43,30,22,22,42,36,36,50,71,10,55,54,53,29,31,26,31,21,24,26,23,22,34,21,33,28,32,46,31,58,47,32,34,43,39,52,52,22,36,20,32,48,61,30,40,38,35,27,23,53,64,20,68,83,65
2019-05-29 14:26:13,2019-05-29 15:18:20,IP Address,100,3127,True,2019-05-29 15:18:21,R_DS1cQLyutfjjBwl,anonymous,EN-GB,278,"I still smoke, but I have begun to change, like cutting back on the number of cigarettes I smoke. I am ready to set a quit date.",71,60,78,1,1,1,1,1,3,1,98,98,98,98,98,98,1,21,1,64,49,43,49,49,14,47,50,2,3,2,84,1,1,53,75,61,44,58,15,59,86,77,79,77,2,2,1,58,59,2,62,64,4,41,81,5,2,2,82,4,1,47,61,2,48,47,1,42,90,1,2,2,60,3,1,97,83,64,56,83,43,70,71,92,96,92
2019-05-30 13:33:04,2019-05-30 14:06:05,IP Address,100,1981,True,2019-05-30 14:06:05,R_1rAoKDefbjTejP3,anonymous,EN-GB,608,"I sometimes think about quitting smoking, but I have no plans to quit.",33,57,7,7,6,29,22,15,11,17,69,57,10,71,42,34,51,54,42,58,44,25,23,26,70,52,50,12,22,11,60,12,50,47,20,18,42,17,74,50,11,13,13,13,51,46,48,62,40,21,21,28,62,36,19,69,22,11,36,8,18,40,13,27,31,24,85,34,15,11,7,18,56,50,32,63,54,33,36,50,76,20,28,17,24,17
2019-06-04 11:21:42,2019-06-04 11:59:06,IP Address,100,2244,True,2019-06-04 11:59:06,R_3qK7yp54ccDkgbD,anonymous,EN-GB,148,"I often think about quitting smoking, but I have no plans to quit.",82,90,0,5,5,5,0,5,10,0,40,61,50,8,0,0,36,10,4,60,13,5,20,20,3,2,17,19,51,43,29,66,29,100,82,47,77,82,0,0,5,49,41,55,50,42,5,82,81,62,60,81,10,19,2,21,48,48,21,32,66,92,80,35,30,91,0,10,5,20,5,5,81,50,40,95,90,70,61,81,30,5,15,75,60,53
2019-06-05 09:26:57,2019-06-05 09:40:30,IP Address,100,813,True,2019-06-05 09:40:31,R_0CBdm5LHmScOP8R,anonymous,EN-GB,476,I definitely plan to quit smoking in the next 6 months.,100,90,1,1,100,1,1,1,1,1,99,100,1,2,81,1,100,100,100,43,100,1,100,100,82,3,1,99,100,100,100,100,100,100,100,100,100,100,1,1,1,91,91,92,100,100,100,100,100,100,100,100,91,91,2,42,43,100,100,2,100,51,50,50,100,51,100,50,1,100,100,100,100,100,100,100,92,61,100,92,83,1,1,100,100,100
2019-06-07 10:37:35,2019-06-07 10:46:12,IP Address,100,517,True,2019-06-07 10:46:12,R_1cT9mjk3sjIbHON,anonymous,EN-GB,137,"I rarely think about quitting smoking, and I have no plans to quit.",51,100,3,7,6,3,4,4,3,2,78,2,3,3,3,3,81,15,58,67,29,27,34,34,84,78,79,91,91,83,20,85,86,89,90,53,50,79,49,9,7,100,99,100,3,3,6,3,4,3,3,3,51,3,3,3,3,3,24,71,84,74,92,77,21,72,81,29,28,86,89,90,30,11,50,5,3,3,36,2,100,80,20,70,80,35
2019-06-14 16:04:49,2019-06-14 16:15:41,IP Address,100,652,True,2019-06-14 16:15:42,R_3phetHwrL8OCNnc,anonymous,EN-GB,543,"I often think about quitting smoking, but I have no plans to quit.",100,100,0,10,10,50,40,10,0,40,0,50,0,0,0,0,80,0,0,100,20,0,0,0,0,0,0,80,80,40,0,60,20,100,40,10,20,20,0,0,0,20,0,0,0,20,0,0,40,0,0,5,0,40,0,0,0,0,39,20,60,80,10,0,10,10,0,22,0,20,0,0,50,20,40,100,40,10,20,40,0,0,0,50,40,20
2019-06-21 09:59:10,2019-06-21 10:12:35,IP Address,100,805,True,2019-06-21 10:12:36,R_25WIRfNbKHNweGH,anonymous,EN-GB,402,"I rarely think about quitting smoking, and I have no plans to quit.",16,19,22,24,25,24,17,23,31,22,43,44,44,35,37,35,86,53,53,48,49,50,62,43,66,81,57,68,86,84,36,36,24,17,24,12,53,19,77,77,55,58,87,55,44,43,44,31,32,31,31,41,46,53,45,60,52,51,35,25,40,14,19,33,11,33,73,71,53,22,23,16,63,56,53,33,42,39,50,36,73,74,60,45,95,66
2019-06-25 10:04:01,2019-06-25 10:49:43,IP Address,100,2742,True,2019-06-25 10:49:44,R_rqhMdaFEchmLOo1,anonymous,EN-GB,999,I have decided not to quit smoking for my lifetime. I have no interest in quitting.,62,60,57,55,56,60,60,60,63,60,61,61,63,62,61,62,49,49,47,47,46,46,45,47,42,44,42,43,42,43,45,48,46,48,50,53,46,48,63,63,63,61,62,62,42,41,40,42,45,42,42,42,44,43,43,42,43,43,48,47,47,46,47,47,47,48,63,66,63,49,54,50,38,41,38,41,71,41,41,42,59,59,59,61,61,60
2019-07-10 10:53:57,2019-07-10 11:28:20,IP Address,100,2062,True,2019-07-10 11:28:20,R_3GwwyrQvmUaTat8,anonymous,EN-GB,137,"I often think about quitting smoking, but I have no plans to quit.",75,78,4,3,5,17,4,2,4,4,80,12,19,21,4,3,61,7,30,44,4,2,40,4,74,75,6,81,82,47,37,62,83,61,82,61,81,83,63,9,39,81,79,79,4,2,9,7,21,7,6,8,34,41,4,9,9,9,13,4,58,29,21,6,28,28,63,62,62,85,79,60,20,5,4,17,16,6,32,6,82,2,9,20,21,21
2019-07-11 13:57:56,2019-07-11 14:24:41,IP Address,100,1604,True,2019-07-11 14:24:42,R_a5IN0oBpgtOWUX7,anonymous,EN-GB,429,I have decided not to quit smoking for my lifetime. I have no interest in quitting.,42,54,1,1,1,2,1,1,2,1,100,74,100,100,100,100,1,1,1,1,1,1,1,1,96,33,100,100,100,97,1,41,1,60,2,1,1,1,100,16,100,100,100,100,1,1,2,45,1,1,2,1,93,5,100,100,100,100,41,1,50,55,1,2,2,1,50,49,100,100,99,99,2,2,2,59,2,1,2,2,60,5,97,99,99,99
2019-07-12 10:00:19,2019-07-12 10:28:18,IP Address,100,1678,True,2019-07-12 10:28:18,R_stcIdXsyrsY2SHL,anonymous,EN-GB,690,"I sometimes think about quitting smoking, but I have no plans to quit.",80,100,1,1,50,1,1,1,1,10,1,50,60,100,100,50,100,100,100,100,100,100,1,100,1,100,1,1,100,100,1,1,1,1,1,1,1,1,100,100,100,100,100,100,22,100,100,100,51,50,1,100,1,1,1,100,100,100,1,20,21,21,49,1,1,50,1,50,50,100,100,100,83,62,100,100,100,22,1,51,1,80,1,80,100,80
2019-07-15 15:25:39,2019-07-15 16:08:08,IP Address,100,2548,True,2019-07-15 16:08:08,R_28BaV5wZxMZVz8Z,anonymous,EN-GB,543,"I often think about quitting smoking, but I have no plans to quit.",100,100,0,40,60,61,40,40,60,40,0,0,0,80,0,0,40,0,0,81,0,0,21,0,0,0,0,40,62,100,0,41,20,60,62,0,0,20,0,0,0,0,0,0,20,20,0,0,21,0,22,20,0,20,0,0,0,0,40,17,60,81,42,21,21,21,0,0,0,0,0,0,39,21,39,20,19,11,11,20,0,0,0,20,0,0
2019-07-18 09:53:48,2019-07-18 10:27:21,IP Address,100,2013,True,2019-07-18 10:27:21,R_2RP7av5oAF2Zl1C,anonymous,EN-GB,379,"I sometimes think about quitting smoking, but I have no plans to quit.",81,71,1,1,0,1,1,1,1,1,1,61,42,0,1,1,83,62,82,95,75,52,30,71,1,1,1,81,83,82,23,23,81,29,40,51,13,52,1,8,1,81,81,81,1,1,1,1,1,1,1,1,1,41,20,1,2,1,65,20,83,60,61,24,23,21,1,1,0,83,82,82,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2019-07-18 15:25:27,2019-07-18 15:49:17,IP Address,100,1429,True,2019-07-18 15:49:17,R_2qfo4WGwuQr2OZC,anonymous,EN-GB,276,"I often think about quitting smoking, but I have no plans to quit.",81,89,1,1,1,1,0,1,0,0,13,37,78,0,0,0,32,12,7,24,32,22,63,25,93,4,26,70,71,67,29,23,11,13,19,5,44,21,85,14,44,31,15,3,14,25,9,62,48,19,59,21,77,50,5,64,15,17,1,1,7,1,6,1,2,5,77,11,32,3,2,3,40,13,8,17,34,20,57,43,54,9,6,42,31,8
2019-08-08 09:56:48,2019-08-08 10:18:42,IP Address,100,1313,True,2019-08-08 10:18:42,R_4SioCDAKvOuJMf7,anonymous,EN-GB,724,"I sometimes think about quitting smoking, but I have no plans to quit.",66,50,34,25,35,26,30,29,47,29,57,46,46,31,30,31,87,42,41,42,60,58,64,61,70,21,33,71,68,67,73,66,67,65,59,70,59,59,35,47,47,69,70,69,27,26,22,32,48,33,53,32,47,50,50,70,64,66,53,65,79,64,66,66,64,64,23,18,16,50,47,59,83,54,34,51,66,53,62,55,19,20,6,65,66,67
2019-08-09 13:43:41,2019-08-09 14:24:37,IP Address,100,2455,True,2019-08-09 14:24:37,R_3fPQ7pZtgqmvJD2,anonymous,EN-GB,647,"I rarely think about quitting smoking, and I have no plans to quit.",80,65,7,6,6,7,65,58,13,14,8,0,8,1,1,1,92,7,7,58,21,15,17,15,89,48,54,6,69,6,42,43,58,19,62,33,74,52,45,61,5,7,11,9,16,84,3,24,90,24,8,89,15,45,14,74,42,47,13,24,71,39,68,15,55,70,82,87,66,13,13,6,66,25,13,4,46,8,9,32,74,64,74,7,24,9
2019-08-12 13:46:55,2019-08-12 15:25:17,IP Address,100,5902,True,2019-08-12 15:25:18,R_2chhRWT0MVpCPqc,anonymous,EN-GB,429,"I rarely think about quitting smoking, and I have no plans to quit.",45,44,1,1,1,1,1,1,1,1,60,42,100,2,1,1,1,2,1,29,18,1,2,1,41,43,100,100,100,100,2,1,1,25,15,1,2,1,46,45,60,99,100,100,2,1,1,43,1,2,1,1,43,52,100,100,100,100,1,2,54,41,1,2,2,1,44,42,100,100,100,100,1,1,1,42,41,1,1,2,42,43,100,100,100,100
2019-08-13 14:52:13,2019-08-13 15:30:00,IP Address,100,2267,True,2019-08-13 15:30:00,R_tEDx03L9jmHnQFH,anonymous,EN-GB,690,"I often think about quitting smoking, but I have no plans to quit.",61,81,0,0,0,50,0,0,0,0,0,80,81,0,0,0,100,0,0,100,100,0,100,50,0,0,0,50,50,49,0,0,0,10,0,0,0,0,0,81,50,20,20,50,0,81,81,100,83,50,41,49,50,1,0,82,81,81,81,19,50,81,50,49,18,49,1,0,0,81,82,81,18,81,81,100,48,48,48,48,0,0,0,49,48,48
2019-08-21 13:45:05,2019-08-21 15:55:54,IP Address,100,7848,True,2019-08-21 15:55:54,R_12nFXo0XyQhZk8O,anonymous,EN-GB,379,"I sometimes think about quitting smoking, but I have no plans to quit.",81,66,20,21,20,10,11,11,11,11,51,81,81,1,1,1,81,80,80,74,74,74,74,75,5,4,5,51,51,52,78,77,77,74,67,63,76,64,10,10,10,72,72,72,53,53,53,55,43,52,56,42,10,11,20,39,39,41,81,80,81,81,81,81,81,81,5,4,5,60,59,60,67,67,67,81,72,71,81,73,11,11,12,83,82,82
2019-08-22 14:54:13,2019-08-22 17:04:11,IP Address,100,7798,True,2019-08-22 17:04:12,R_1f3MRuuWLGl2eWC,anonymous,EN-GB,276,I definitely plan to quit smoking in the next 6 months.,60,75,10,17,17,41,23,8,10,9,19,8,31,4,4,2,60,36,34,27,24,35,39,33,79,36,60,78,77,61,20,22,22,25,18,20,23,17,59,17,49,31,31,27,21,18,5,17,32,13,28,22,7,7,8,12,10,8,21,19,25,22,26,23,24,25,50,21,32,13,16,12,7,6,9,13,12,12,18,13,15,11,13,11,13,10
2019-09-09 13:57:30,2019-09-09 15:12:26,IP Address,100,4496,True,2019-09-09 15:12:26,R_1MKX3nWku9hAxbI,anonymous,EN-GB,647,"I rarely think about quitting smoking, and I have no plans to quit.",25,33,7,7,8,41,7,14,11,6,9,7,18,5,5,5,59,13,9,30,22,6,8,12,39,14,21,2,30,5,12,53,32,32,54,25,25,44,16,56,15,30,16,11,6,54,35,9,16,9,13,11,19,57,10,4,17,23,5,32,63,67,30,20,34,28,28,9,7,60,3,4,18,35,30,10,37,20,23,35,11,31,7,37,30,28
2019-09-10 09:58:41,2019-09-10 10:08:23,IP Address,100,582,True,2019-09-10 10:08:23,R_1PRasIN4Q58UTHz,anonymous,EN-GB,724,"I often think about quitting smoking, but I have no plans to quit.",76,67,30,32,25,31,19,15,20,19,60,54,66,29,30,28,79,65,26,32,67,50,54,54,44,32,43,61,61,67,77,86,75,69,78,42,60,72,79,66,72,81,77,81,71,59,56,61,70,45,63,61,66,49,32,60,63,62,80,88,93,73,72,83,83,83,63,35,61,80,84,86,81,56,48,61,65,69,62,75,50,33,25,81,81,80
